id,latitude,longitude,street,building_number,description
1,44.076707,24.85007,Рівності,9,
2,52.261458,22.787639,Басейний 6-й,427,
3,51.352155,31.176082,Мала Арнаутська,865,
4,52.256312,31.816728,Костанді 2-й,9,
5,46.343106,31.072997,Ліверпульський,828,
6,52.466884,32.858593,Хвойний,546,
7,50.420116,25.0254,Високий,84,
8,47.007509,38.467373,Симфонічна,65,
9,48.283829,23.739417,Іванівська,9,
10,44.159081,28.139727,Поїзна,955,
11,49.698947,26.869545,Селекційний,21,
12,48.82068,26.218598,Лютневий 2-й,90,Кут військовий райком холодно. Мільярд упустити академік розводити шкарпетка командування видимо вперед.
13,49.553971,39.512259,Басейний 6-й,88,
14,52.365334,30.525221,7-ма Лінія 6-й ст. Люстдорфської дороги,0,Казна-Хто спорт синок занадто дружно розвинений. Польовий обуритися хотіти розкішний розводити червонй спорт ліловий. Почуття заробити князь вітрина бочок.
15,45.185287,39.162371,Партизанська,2,
16,52.165717,34.216859,Південно-Санаторний,45,
17,48.632633,33.277403,Жолкова Бориса,38,
18,47.4098,37.102556,Чорноморський 10-й,19,
19,46.550222,31.821206,Ігоря Ветрогонова,34,
20,47.107661,40.242891,Умова,51,
21,47.789416,22.182257,Грецька,232,
22,51.398818,39.199886,Донцова Дмитра,43,
23,45.283695,35.714015,Нова,557,
24,52.388881,31.557669,Яші Гордієнка,9,
25,45.843491,37.812618,2-й Академічний тупик,18,
26,48.865519,39.497464,Восьмого березня 4-й,943,
27,52.218984,37.453982,Джинестрівська,5,
28,44.521769,40.105311,Олександра Білостінного,641,Спорт поріг єврейський. Легко виникнення несподіваний пробувати будівництво виднітися. Блискучий дорогий спорт задерти шолом. Супроводжуватися будівництво що-небудь диявол.
29,50.976384,39.895169,Історія Футболу,320,
30,44.26298,25.194405,Хаджибейський,50,"Поставити прем'єра спорт тютюн. Зміна новий потім. Висловлюватися будівництво легко.
Гуляти гідність мимо дальній щастя несподіваний. Знаходити призначити палиця."
31,48.835698,26.318818,Десята,09,
32,48.657841,27.764736,Родоканакі,106,
33,47.635682,22.799886,Байдарочний,466,
34,49.136769,25.977379,Економічний,57,
35,45.680564,29.458177,Ольги Благовидової,23,
36,46.561506,25.339077,Новиков міст,309,
37,49.735084,39.459866,Котляревського,924,
38,44.178576,23.34396,Василя Кандинського 3-й,145,
39,51.93678,29.206617,Керченський 3-й,24,Функція мить плід банда заява світило вперед пісенька. Затримати незручно свіжий триста дальній зате сонце метал. Ефект хліб пити мить задерти.
40,46.68971,39.182765,Банний,1,
41,51.487971,34.411453,Тарутинська,835,
42,52.169479,36.261632,Левкоєва,059,
43,47.433066,32.381876,Миколи Міхновського,5,
44,46.962877,25.398501,Пересипська 6-та,463,
45,50.523411,32.97301,Юрія Коваленка,4,М'Який ягода діставати один факультет о. Соціалістичний триста жити район ефект інфекція картинка. Розвернутися купа-невеличка через бак видимо.
46,44.064628,34.928672,Люстдорфська дорога,735,
47,46.706879,36.066367,Лінія 29-та,60,Господь болото слати заклад. Соціалістичний їжа радість податковий коричневий спосіб. Увійти гроші розвинений пірʼя дошлий ніж соціалістичний.
48,47.046059,31.527537,Літній,3,
49,45.773401,30.666655,Проектуєма,1,
50,47.405797,22.758171,Олени Теліги,300,"Терапія тютюн полюбити коробка. Щур нарада що спасти кордон спалити мати.
Коваль вітати художній поріг постійний. Мета затримати вскакивать. Хліб так увійти мимо задерти."
51,50.262241,28.234362,Варненська,551,
52,50.299768,39.299379,Василя Кандинського,5,Рота звільнити звільнення присісти єврейський прем'єра зелений. Степ прощення почуття райком мета термін висіти. Аналіз постійний бочок сумний похмуро степ терапія міркування.
53,45.520374,30.849135,Пересипська 6-та,56,
54,50.200615,34.937598,Ізмаїльська,89,
55,48.769093,40.03018,Миколи Кравченка,5,
56,49.37312,24.336516,Пересипська 2-га,514,
57,49.412536,26.669852,Солонцюватий 1-й,7,
58,50.059312,33.194159,Лютневий 2-й,61,
59,50.271351,28.666309,Пересипська 8-ма,687,
60,48.881412,28.324906,Четверта,8,
61,51.45484,39.437992,Скрипковий,69,
62,50.685977,34.239875,Асташкіна,780,
63,44.173208,29.058363,Промислова,1,
64,51.89587,33.248996,Наливна,31,
65,51.461259,24.340166,Економічний,677,"Метал що адже кора. Важливий збудження плід байдужий приятель.
Сходити салон чотири здригнутися."
66,44.775614,28.40854,Садова 5-та,714,"Пити плід тута хід. Решітка інтернет єдиний факультет пірʼя. Написати суглоб деякий розкішний ремінь співати що.
Тютюн їжа близько метелик. Сумнівний князь польовий зарплата правління забирати поява."
67,45.978622,29.772001,Ракетна,342,Точно кут холодно рот плід. Уточнити промовчати художній бажання сміття присісти. Дошлий команда в'язниця медицина.
68,45.143115,22.010925,Кладовищний,048,
69,49.133147,24.346681,Деволанівська,1,
70,44.016746,25.732438,Бучми,6,
71,51.631911,30.617059,Канатна,47,
72,50.529861,39.791373,Чорноморського козацтва,234,
73,49.877621,28.499873,Кінна,482,
74,47.364989,39.701639,Кладовищенська,42,
75,49.059423,34.86611,Львівська,3,
76,48.142759,28.722756,Зоряна,638,
