vehicle_id,driver_id,assignment_start_date,assignment_end_date
1,1,2023-01-01,2023-12-31
2,2,2022-05-01,2023-05-01
3,3,2022-06-01,2023-06-01
4,4,2021-09-01,2022-09-01
5,5,2020-07-01,2021-07-01
6,6,2023-02-01,2024-02-01
7,7,2023-03-01,2024-03-01
8,8,2023-04-01,2024-04-01
9,9,2023-05-01,2024-05-01
10,10,2023-06-01,2024-06-01
11,11,2023-07-01,2024-07-01
12,12,2023-08-01,2024-08-01
13,13,2023-09-01,2024-09-01
14,14,2023-10-01,2024-10-01
15,15,2023-11-01,2024-11-01
16,16,2023-12-01,2024-12-01
17,17,2024-01-01,2024-12-31
18,18,2024-02-01,2025-02-01
19,19,2024-03-01,2025-03-01
20,20,2024-04-01,2025-04-01
