id,event_id,result
1,9428,виявлено витік рідини
2,2076,виявлено підпал
3,9566,виявлено підпал
4,6416,виявлено витік рідини
5,3164,виявлено підпал
6,2943,виявлено відкриту люк
7,5766,виявлено відкриту люк
8,4297,виявлено відкритий люк
9,8347,виявлено відкриту кришку
10,8905,виявлено відкриту кришку
11,1119,виявлено відкриту кришку
12,2424,виявлено відкриту дверцята
13,5790,виявлено витік газу
14,785,виявлено відкрите вікно
15,7198,виявлено відкриту люк
16,6582,відсутність взлому
17,6023,пожежа
18,2743,крадіжка
19,5332,проникнення в приміщення
20,7021,проникнення на об'єкт
21,1928,виявлено відкритий люк
22,9291,пожежа
23,9902,відсутність взлому
24,1597,виявлено витік води
25,4935,виявлено взлом
26,707,виявлено витік води
27,7575,виявлено відкриту кришку
28,9264,виявлено підпал
29,1009,відсутність взлому
30,2909,пожежа
31,6881,виявлено підпал
32,9375,проникнення на об'єкт
33,4106,виявлено відкриту люк
34,3932,виявлено взлом
35,615,крадіжка
36,8184,пожежа
37,3585,відсутність взлому
38,9556,відсутність взлому
39,2430,виявлено взлом
40,432,виявлено відкриті двері
41,7917,виявлено витік води
42,4727,крадіжка
43,1859,крадіжка
44,1015,виявлено відкриту кришку
45,3680,виявлено відкриту люк
46,9803,крадіжка
47,8903,виявлено відкриту кришку
48,7712,проникнення в приміщення
49,4754,проникнення на об'єкт
50,3713,проникнення в приміщення
51,6624,виявлено взлом
52,3477,виявлено витік палива
53,1741,виявлено витік води
54,488,проникнення на об'єкт
55,6915,виявлено відкритий люк
56,6455,проникнення
57,5269,проникнення
58,1987,виявлено відкриту дверцята
59,6846,виявлено відкритий люк
60,8884,виявлено відкриту дверцята
61,3143,проникнення в приміщення
62,254,крадіжка
63,2164,виявлено витік рідини
64,1605,виявлено витік палива
65,4928,виявлено витік рідини
66,6529,пожежа
67,4345,виявлено відкриту дверцята
68,2580,виявлено відкрите вікно
69,3474,відсутність взлому
70,2014,виявлено відкриті двері
71,6657,виявлено відкритий люк
72,6742,відсутність взлому
73,1088,крадіжка
74,9605,виявлено витік палива
75,7709,виявлено відкриту дверцята
76,8055,виявлено витік газу
77,8677,пожежа
78,2017,виявлено витік води
79,3560,виявлено взлом
80,682,виявлено витік газу
81,8471,проникнення на об'єкт
82,285,виявлено витік води
83,576,виявлено відкриту кришку
84,6532,проникнення
85,4253,виявлено відкриту кришку
86,2069,виявлено витік газу
87,9186,проникнення в приміщення
88,1560,виявлено відкриті двері
89,1042,виявлено підпал
90,3042,виявлено витік рідини
91,6338,виявлено відкрите вікно
92,7313,виявлено відкрите вікно
93,6578,виявлено витік рідини
94,7090,виявлено витік палива
95,8940,виявлено відкриті двері
96,6221,виявлено витік газу
97,3003,виявлено витік газу
98,9099,виявлено відкрите вікно
99,6061,виявлено відкриту дверцята
100,3166,виявлено відкриту дверцята
101,7414,виявлено витік палива
102,8,виявлено відкриту дверцята
103,21,виявлено взлом
104,9788,виявлено відкриту кришку
105,2992,крадіжка
106,1841,виявлено відкриту дверцята
107,3051,виявлено відкриту люк
108,1322,виявлено відкриті двері
109,8634,виявлено витік рідини
110,890,виявлено витік палива
111,2217,крадіжка
112,1774,крадіжка
113,7490,виявлено відкриті двері
114,1715,проникнення
115,1131,виявлено витік рідини
116,1246,відсутність взлому
117,7491,проникнення
118,722,відсутність взлому
119,27,відсутність взлому
