id,alarm_id,object_id
1,6581,1327
2,2179,5636
3,3270,2933
4,167,2681
5,9921,7524
6,3248,544
7,3777,8518
8,8752,713
9,8472,3996
10,2989,3786
11,2577,7846
12,1796,3847
13,9514,4979
14,5961,5583
15,7005,8957
16,8974,8400
17,4813,2134
18,103,688
19,1583,1898
20,6741,5474
21,2452,4828
22,4668,9747
23,3730,2870
24,4012,4957
25,3668,6723
26,6268,5218
27,3094,3291
28,5090,4170
29,3990,6268
30,4879,15
31,2371,7192
32,2520,7622
33,6086,3580
34,3612,706
35,7,540
36,6870,9907
37,2669,7365
38,4187,2827
39,3437,5881
40,2397,1774
41,112,8280
42,2745,5602
43,8982,9789
44,3719,828
45,9576,9014
46,7376,4795
47,747,4012
48,5598,3236
49,3691,9062
50,2008,9366
51,9013,3117
52,4747,775
53,5994,7681
54,6399,2049
55,2448,4787
56,8023,8122
57,3285,6097
58,3601,83
59,7090,8787
60,406,9611
61,8263,6593
62,3967,4159
63,593,1046
64,8357,5202
65,3170,7809
66,3286,7296
67,2908,4929
68,280,2378
69,428,1669
70,7928,1380
71,10000,1142
72,2362,3927
73,300,8253
74,9459,190
75,3894,3323
76,9361,8372
77,2945,1392
78,2418,2806
79,4431,1987
80,89,6739
81,5953,7370
82,4654,7828
83,6875,617
84,8472,6060
85,1505,4581
86,9984,6538
87,3670,8698
88,4887,9394
89,3428,2958
90,4258,835
91,933,7430
92,5621,9023
93,2276,5421
94,4931,1490
95,9910,4017
96,2450,8796
97,8573,7350
98,1043,6094
99,9859,6083
100,8869,3501
101,3344,6359
102,256,9880
103,4626,2974
104,7593,9290
105,1651,9605
106,5766,9985
107,8544,5622
108,5837,7740
109,1959,3263
110,5415,937
111,8904,1750
112,8114,2740
113,8757,3599
114,2273,6620
115,9430,7112
116,8862,303
117,2192,430
118,1230,2717
119,7433,8546
120,875,6936
121,2467,8538
122,3152,5309
123,4336,1696
124,9609,87
125,5611,8670
126,8278,7141
127,2892,5032
128,1169,3197
129,6089,3534
130,9429,613
131,9038,1434
132,1678,392
133,6651,705
134,9389,2356
135,605,6854
136,6797,3944
137,9204,832
138,4951,2643
139,7980,1269
140,1142,9154
141,6434,5302
142,6273,8675
143,4595,4942
144,7866,5297
145,4646,3920
146,1403,4538
147,114,8268
148,2391,2596
149,8319,4212
150,5658,5610
151,7745,4513
152,6508,4693
153,3298,4507
154,3139,5018
155,3529,253
156,3424,8270
157,7744,2018
158,7026,3493
159,2312,3463
160,1698,2386
161,5969,9967
162,5102,9916
163,3044,3620
164,5793,6006
165,5272,2341
166,6421,8835
167,298,2537
168,9044,7309
169,5983,3039
170,6848,6495
171,1389,4197
172,5671,8209
173,3948,1601
174,9093,71
175,6521,1263
176,6195,9829
177,9569,9676
178,8371,6508
179,2243,94
180,1855,4374
181,5156,9897
182,1282,1662
183,9004,2031
184,5542,5861
185,5258,8023
186,1836,7489
187,7466,1262
188,5194,5576
189,9025,333
190,4874,5693
191,8596,6201
192,9162,3533
193,8783,5531
194,4110,5338
195,4466,9730
196,9789,1196
197,7048,6533
198,7656,564
199,5180,8151
200,9174,9518
201,6131,3374
202,6168,4290
203,1087,8581
204,1819,1054
205,2445,444
206,6285,2811
207,1848,5993
208,2948,9037
209,173,512
210,5066,2613
211,5454,418
212,7987,6727
213,5184,2521
214,3231,2683
215,2368,2474
216,5120,1333
217,1181,2588
218,3649,5117
219,7238,2522
220,9765,2473
221,6550,4342
222,3714,1207
223,4258,6645
224,6752,9156
225,5529,1003
226,5639,3394
227,9083,4536
228,7504,320
229,3691,1471
230,4075,1682
231,4297,3645
232,8326,2415
233,4854,6958
234,3824,5464
235,8246,9393
236,9569,5305
237,6725,6213
238,9908,3693
239,5225,1830
240,971,7447
241,4938,6385
242,8133,4583
243,5440,106
244,6116,4777
245,4263,4854
246,4823,3725
247,3433,1881
248,4721,8789
249,802,2897
250,1483,4480
251,4022,4562
252,5117,8454
253,2437,7812
254,8954,7529
255,6410,725
256,8955,666
257,6453,800
258,4811,2559
259,7543,3904
260,6208,7128
261,7800,2409
262,2522,2608
263,4607,8075
264,1553,4542
265,9291,3831
266,7837,1136
267,6662,2612
268,6638,1670
269,3663,5064
270,5794,2331
271,2851,9155
272,9632,1726
273,2851,4013
274,9625,495
275,9298,2885
276,737,1057
277,473,7568
278,3996,4934
279,3521,659
280,9011,6329
281,6329,1184
282,1824,6685
283,1467,9057
284,7426,7587
285,4142,5738
286,2036,2978
287,7019,4741
288,6400,7034
289,4345,7416
290,6559,5633
291,3275,5295
292,5262,4317
293,1161,3122
294,4687,8885
295,5916,2873
296,444,4303
297,1017,6011
298,3429,5216
299,5772,8238
300,4239,8505
301,318,1720
302,5823,9199
303,5032,9251
304,6400,5098
305,768,772
306,4878,7264
307,9084,4052
308,1558,4658
309,6171,1
310,2935,8471
311,3659,30
312,1783,4138
313,6750,3694
314,712,9522
315,4782,1329
316,9620,3515
317,2225,3657
318,6513,5138
319,3236,3721
320,5462,5955
321,8544,2079
322,6392,5850
323,7171,5509
324,7770,8719
325,6339,1648
326,667,609
327,5039,4514
328,2584,8638
329,9585,1299
330,8697,8329
331,8239,7584
332,6625,7726
333,9836,4025
334,622,2095
335,1027,8901
336,3241,9644
337,2806,7984
338,1718,2888
339,9335,5195
340,2990,1081
341,4716,819
342,6188,8033
343,5729,7422
344,1787,790
345,9128,2475
346,7931,843
347,5065,7252
348,8395,8940
349,2362,8146
350,7408,353
351,9284,5920
352,8392,6529
353,6875,3610
354,3909,5935
355,7912,6787
356,8803,4623
357,8822,7970
358,7690,1166
359,6004,7052
360,3772,1397
361,9078,6326
362,9952,9696
363,6953,3603
364,1701,4351
365,3063,580
366,6236,5531
367,8892,6003
368,1522,7287
369,6188,3265
370,2864,5574
371,5376,2573
372,8567,9913
373,5031,4612
374,7742,5863
375,2188,9562
376,1729,6479
377,1451,8569
378,6522,3456
379,3733,5342
380,6832,6221
