id,longitude,latitude,street,building_number,description
1,3.059679,52.8966925,Хвойний,621,Очко танцювати вигнати каюта степ здригатися сміливий. Червонй заспівати військовий другий відповісти командир.
2,120.093090,-81.768053,Польовий 1-й,8,Чотири пастух терапія ліхтарик зелений тютюн. Що-Небудь відзначити свіжий юний ґудзик холодно провал. Торгівля безпорадний монета сміятися зате друкувати набір кишеня.
3,-101.088565,36.686052,Різницький,068,"Покидати космос холодно скинути затримати сонце протягувати.
Трубка салон покинути рота житель вираз сміття. Олівець щастя палата ідея. Наступати пірʼя ручка заклик."
4,-7.488086,-15.200321,11-та ст. Великого Фонтану пляж,9,Другий близько співрозмовник коричневий розвернутися мати образа. Зловити холодно упустити поріг чотири матерія число.
5,89.640249,-3.3929225,Чорноморський,519,"Дівка пастух поява полум'я. Обуритися функція голубчик. Художній щастя секунда мʼята насолода відділ.
Інший самостійно картинка робочий. Колектив поріг присвятити знімати."
6,57.039242,11.9538235,Горбатий міст,336,"Затримати князь ліловий пісенька низький теорія.
Збудження означати бігати. Черговий занадто збільшуватися доба. Епоха їсти нога супроводжуватися міркування пристрасть розгубитися."
7,-89.717587,-77.0905495,Астрономічна,29,Розвернутися кидати дальній коричневий діставати.
8,176.443506,-24.079274,Газова,2,Гараж адвокат відповісти житель. Чоловічок встати заклик ґаздиня. Тривога іспит через м'який простір хліб місце. Труп сумний роса.
9,60.677660,25.4641345,Лазурний 4-й,453,Пристойний раніше виднітися виконувати. Гіркий художній сміття ліворуч місце вивести яблуко бок. Вскакивать незвичний помовчати космос головка нервово через подвірʼя.
10,-43.816602,36.7759755,Вільгельма Габсбурга,45,Район холодно запустити залучати спалити загроза. Насолода степ оборот міра означати. Від'Їзд мигнути незручно холодно.
11,-143.520642,-22.5300015,Олександра Кутузакія,8,Приходити правильний звільнення гідність палець. Застосовуватися червʼяк торгівля вираз.
12,171.966999,50.2861675,10-та Лінія 6-й ст. Люстдорфської дороги,412,Сумний відповідність в'язниця покоління мільярд іспит новий. Задерти заспівати блін що-небудь спорт. Юний приятель зловити валюта інтернет.
13,-162.271048,-38.2747345,Панаса Саксаганського,744,"Закласти похмуро хата плід знаходити картинка.
Ламати мить теорія. Медицина низький лапа виникнення бажання."
14,-117.301433,72.977501,Кільцева,485,Яскраво звільнення другий. Порада багряний тьмяний звільнити п'ятеро співрозмовник камінчик. Прошепотіти місце незручно діставати засунути наступати хлопчисько. Робочий хліб звільнення факультет.
15,136.541878,-33.213530,Шкільний аеродром,107,"Провінція підземний підземний хата. Палець нога даль міра армійський медицина.
Кут космос ґазда насолода знаходити. Й означати синок радити бетонний. Залучати міркування сонце червонй керівник."
16,104.008251,-53.0066835,Розумовський 2-й,99,Гіркий плід керівник диявол отже міра. Салон вчора ручка команда ланцюжок. Витримати домогтися щастя їсти. Через страта перебивати супроводжуватися місце ягода покинути падаль.
17,101.544284,-78.177282,Добровольців,79,"Витримати точно ремінь хліб дружно зима. Поява діставати приятель.
Тьмяний сміятися вечір єврейський дошлий. Купа сумний мільярд зима."
18,-90.516752,-59.705557,Удільний,89,Квапливий висіти камінчик ґазда несподівано. Незвичний наштовхнутися функція монета здалеку вчора. Фахівець отже в'язниця трубка реклама вигнати заплакати.
19,30.522905,58.091354,Пересипська 6-та,63,Покидати загроза паща спорт слати від'їзд. Зрозумілий матерія кишеня редактор камінчик бетонний шкарпетка. Керівник несподівано різноманітний бок чоловічок похорон.
20,-122.311897,-74.957359,Виноградний,3,Здригнутися приходити вчора монета інструкція насолода заробити. Інфекція гроші знищення космос. Теорія поставити штаб ковзати дихання демократія.
21,64.244976,46.1711755,Тінистий,7,"Палець уточнити спорт застосовуватися казна-хто. Вперед знищення сонце зміна шкіра результат. Ґазда хата господь зміна будівництво струмок.
Прохід присвятити простір. Нарада виднітися услати похорон."
22,-157.377136,44.907274,Світанку,649,Пані вскакивать каюта приятель. Встати бігати покоління взагалі летіти. Навіщо від'їзд задерти прощення означати знищення друкувати.
23,139.009096,-56.7743535,Академічний,51,"Спорт виражений вечір прірва. Штаб хата художній висіти увійти.
Груди сміливий прем'єра зміна скинути. Мимо самостійно заклик здалеку."
24,-88.626551,-10.2018905,Черкаська,013,Незвичайний важкий програміст серйозний перебивати пісенька поріг простір. Заклад солома дрімати мʼята.
25,109.536636,-45.953433,Онілової,69,Прірва похмуро закласти червʼяк каюта. Плавно свіжий пісенька за. Новий основа дихання степ.
26,-91.757190,61.009447,Залізничний 3-й,825,"Народ нарада гараж вчений черговий. Оборот хліб аж.
Житель паща м'який холодно. Кордон виражений грати метелик робочий рідкий сонце. Рішення поставити упор неправда."
27,-48.596573,-71.589687,Зелена,322,Пристрій викинути коваль від'їзд єврейський запустити недолік. Хотіти мотоцикл брову несподівано кільце.
28,138.235859,-65.4555685,Олексія Косяченко,44,Передо палата тисяча зупинити даль плід хотіти. Несподівано черевик близько гуляти яблуко ставити пісня. Метелик виднітися залучати єврейський палата поріг танцювати важкий.
29,80.700290,7.680891,Хвойний,956,Тютюн інший виднітися. Фахівець головний штаб ідея правильний монета дошлий. Лівий даль занадто рідкий.
30,-137.956112,-25.7115675,Леонтовича,386,Мить мить похорон князь рот триста спасти танцювати. Фахівець число господиня простір крутий летіти народ спорт. Надати о легко ремінь.
31,-98.232284,-65.614134,2-га Лінія 4-ї ст. Люстдорфської дороги,494,Розуміти салон правління вмирати число. Настати прохід брову прірва. Народ лягати направо здригнутися ніж заборонити тривога.
32,177.379963,-47.7812725,Колонтаївська,494,Олівець нога близько порода. Мимо ліхтарик пристрій сміливий порівняння поставити заробити.
33,-113.409408,-57.989133,Бориса Нечерди,39,Мати наштовхнутися полюбити чоловічок. Запустити головка повністю тьмяний. Вітрина порівняння редактор висловлюватися.
34,59.991926,-60.2297605,Туристський,5,"Благати паща ручка банк. Польовий простір кидати палець.
Команда мотоцикл солома сміття багряний мигнути тривога."
35,-4.725993,26.355513,Ольвійська,01,Заспокоїтися взагалі природа спорт. Природний зображати приятель єврейський. Квапливий прошепотіти інвалід. Пропаганда приятель степ склянка рідкий.
36,-20.681026,-36.9230595,Пересипський 2-й,831,Важкий пані командування хліб поставити. Призначити збудження небезпека вечір гіркий спорт. Серйозний кільце хотіти правий страта. Червень приятель шолом.
37,-33.932320,-51.621613,Складська,344,Господь груди пристрій заборонити бригада жорстокий іспит наступати. Спорт знімати розкішний. Кпсс вмирати що танцювати отже єврейський.
