id,name,location_id
1,ставити,6406
2,чітко,4386
3,господь,8751
4,ґазда,9849
5,вскакивать,5823
6,сумнівний,68
7,плавно,3330
8,простір,4995
9,головний,1944
10,результат,7823
11,їсти,7276
12,низький,8428
13,командування,9687
14,болото,9385
15,гіркий,9199
16,житель,6908
17,синок,4611
18,прихований,9877
19,виконувати,7794
20,чоловічок,9942
21,їжа,853
22,направо,9183
23,порада,665
24,колишній,9661
25,зелений,1887
26,поставити,481
27,від'їзд,2745
28,заява,4918
29,похмуро,5537
30,правий,551
31,викинути,6389
32,нині,4465
33,червонй,3668
34,сходити,6961
35,домогтися,5063
36,вскакивать,3057
37,діловий,7596
38,дальній,6629
39,товар,7675
40,один,4436
41,колишній,9263
42,будівництво,2447
43,лягати,2415
44,лапа,8167
45,гідність,5051
46,міра,5420
47,князь,8044
48,заспівати,4487
49,щастя,5515
50,заробити,4063
51,видимо,7194
52,небезпека,6903
53,через,8285
54,салон,6759
55,художній,5742
56,жити,7410
57,діловий,4549
58,щастя,3454
59,колишній,9545
60,потім,8242
61,настати,6502
62,метелик,6212
63,виражений,6902
64,місце,4924
65,виднітися,1127
66,процес,5981
67,ефект,92
68,метал,6092
69,розгубитися,4502
70,уникати,187
71,здалеку,2885
72,хід,3198
73,співати,8297
74,пісня,9916
75,приходити,7693
76,чотири,2099
77,можливо,4793
78,інфекція,7146
79,конструкція,9252
80,синок,5970
81,солома,4019
82,тисяча,8612
83,природа,1605
84,функція,200
85,небезпека,4627
86,залучати,7618
87,робочий,3558
88,конструкція,1389
89,метал,5572
90,заборонити,309
91,уникати,6671
92,несподівано,3256
93,інший,3962
94,видимо,6900
95,правління,5754
96,вигнати,1838
97,їжа,2462
98,місце,2600
99,основа,2721
100,тютюн,5392
101,мить,7857
102,розвернутися,2735
103,увійти,8497
104,космос,7746
105,відділ,2032
106,кишеня,8558
107,зате,6458
108,перетнути,4411
109,услати,8300
110,насолода,4771
111,спосіб,5152
112,лягати,7479
113,коробка,9844
114,встати,1603
115,сумний,1346
116,нервово,1492
117,вскакивать,5657
118,наштовхнутися,4182
119,наштовхнутися,5659
120,виблискувати,9737
121,угодний,1289
122,ламати,7649
123,рідкий,3851
124,низький,2052
125,блискучий,5409
126,інструкція,7471
127,летіти,1688
128,приятель,1818
129,ремінь,244
130,зима,9014
131,точно,3877
132,хід,5418
133,термін,7332
134,їсти,5421
135,виконувати,3261
136,простір,320
137,встати,4011
138,відзначити,3151
139,князь,5534
140,вітрина,3456
141,настати,367
142,сміливий,5038
143,присісти,6249
144,тута,4020
145,порода,3122
146,факультет,5028
147,шкіра,6288
148,господиня,1211
149,підземний,8955
150,даль,3493
151,єврейський,2904
152,програміст,8391
153,художній,2640
154,гідність,4957
155,актриса,6377
156,мільярд,449
157,увійти,848
158,виражений,3396
159,порт,4681
160,благати,8924
161,новий,9656
162,мимо,2246
163,розвинений,4520
164,повністю,6421
165,палиця,9249
166,витягувати,6179
167,уточнити,3140
168,який,5476
169,солома,4736
170,хлопчисько,9751
171,благати,6718
172,перетнути,2286
173,легко,653
174,прихований,6866
175,жорстокий,6035
176,звільнення,8894
177,правління,881
178,зміна,3672
179,господь,9108
180,вітрина,4474
181,набір,6259
182,легко,4950
183,рідкий,1816
184,поїзд,693
185,монета,357
186,затримати,5616
187,секунда,6432
188,бригада,8429
189,іспит,9778
190,брову,9685
191,блін,5503
192,червень,2122
193,раніше,1371
194,застосовуватися,9360
195,правий,1501
196,дрібниця,7258
197,коричневий,1787
198,правління,5535
199,райком,8946
200,засунути,4292
201,головний,9055
202,соціалістичний,745
203,так,8064
204,потягнутися,8419
205,виконувати,3019
206,почуття,1105
207,чітко,539
208,їжа,1885
209,брову,6293
210,шолом,1303
211,функція,7550
212,господь,6177
213,знімати,1852
214,намір,1836
215,знаходити,889
216,рішення,743
217,яблуко,239
218,домогтися,5643
219,гуляти,4311
220,медицина,763
221,міф,1061
222,байдужий,7412
223,звільнення,420
224,сонце,4953
225,спалити,3512
226,інтелектуальний,5436
227,казна-хто,4176
228,склянка,2001
229,коричневий,2181
230,заробити,4742
231,пісня,7507
232,інтернет,3449
233,єдиний,5167
234,ґазда,4502
235,відповідність,1620
236,упор,8879
237,навряд,574
238,звільнення,7946
239,інфекція,7455
240,кордон,1215
241,командувач,6450
242,промовчати,8834
243,аналіз,6870
244,пісня,2945
245,різноманітний,6938
246,бак,3269
247,за,1617
248,різноманітний,572
249,неправда,82
250,так,6213
251,звільнити,8230
252,чоловічок,69
253,інтернет,3751
254,рота,8600
255,вибирати,19
256,означати,438
257,коробка,1035
258,обуритися,9951
259,диявол,3025
260,падаль,7902
261,знищення,3836
262,інвалід,6475
263,сміливий,8182
264,щур,990
265,приходити,5023
266,зрідка,5359
267,перетнути,8902
268,заробити,9196
269,багаття,5926
270,вечір,7807
271,тьмяний,4147
272,щастя,3136
273,покидати,3357
274,груди,9086
275,незвичайний,9256
276,потім,3295
277,співрозмовник,4372
278,пірʼя,849
279,загроза,2457
280,пастух,9633
281,міра,2823
282,плід,3776
283,почуття,4312
284,порада,1347
285,поріг,1209
286,міра,7716
287,співрозмовник,2849
288,мить,3427
289,диявол,5869
290,багряний,2328
291,покидати,7538
292,так,9994
293,черговий,7782
294,темніти,344
295,вмирати,7838
296,загроза,3635
297,бажання,4648
298,природа,1177
299,сміття,9611
300,в'язниця,5992
301,мить,3210
302,вираз,8817
303,отже,4701
304,здригатися,3452
305,терапія,3872
306,несподіваний,5193
307,задерти,5621
308,можливо,117
309,висловлюватися,2073
310,висловлюватися,5606
311,знаходити,7923
312,соціалістичний,3578
313,від'їзд,3235
314,спалити,9451
315,жити,4306
316,медицина,8376
317,чотири,3757
318,жорстокий,2363
319,падаль,860
320,друкувати,3196
321,упустити,2769
322,адвокат,6946
323,нервово,7092
324,картинка,9207
325,грати,5106
326,рідкий,6257
327,тютюн,2287
328,монета,6286
329,темніти,5251
330,білизна,2877
331,упустити,9494
332,встати,5685
333,командувач,8444
334,занадто,5885
335,головний,2674
336,підкинути,3688
337,образа,484
338,виражений,5512
339,нарада,8552
340,збудження,7177
341,можливо,7744
342,триста,3300
343,супроводжуватися,2716
344,відповісти,7026
345,уникати,1678
346,близько,9633
347,помовчати,5392
348,деякий,2996
349,квапливий,5291
350,груди,6871
351,перетнути,7787
352,виражений,7851
353,оборот,149
354,при,3683
355,зміна,3365
356,поїзд,6881
357,ягода,9546
358,плід,8728
359,байдужий,9897
360,гіркий,7153
361,трубка,2939
362,шкіра,4590
363,правління,5293
364,перебивати,2087
365,покидати,8183
366,їжа,8884
367,що-небудь,872
368,підкинути,2983
369,струмок,3761
370,від'їзд,3217
371,кора,3427
372,радість,1211
373,пані,5433
374,світило,5561
375,нині,8211
376,засунути,4531
377,єдиний,1977
378,присісти,885
379,витримати,2028
380,вскакивать,1951
381,число,5278
382,багаття,6002
383,скинути,2419
384,ланцюжок,2835
385,темніти,2723
386,збільшуватися,3009
387,банда,5012
388,вчений,1787
389,розлад,5863
390,призначити,281
391,несподіваний,3617
392,інфекція,1177
393,летіти,6514
394,гідність,1408
395,ідея,4832
396,ковзати,2646
397,покинути,7986
398,адже,4410
399,багряний,1346
400,при,8454
401,гіркий,6410
402,результат,8069
403,співрозмовник,7631
404,потім,1246
405,розвернутися,6186
406,знищення,6765
407,другий,2741
408,мигнути,6313
409,інший,347
