id,registration_number,model,brand,color,max_speed,seating_capacity,year_of_manufacture
1,TA1634PO,Bravada,Mercedes-Benz,Зелена мʼята,187,49,2002
2,TM3274AN,RAV4 Hybrid,MAZDA,Пісочний колір,114,47,1897
3,KB4539TM,Escalade,Bentley,Ніжно-блакитний,131,39,1944
4,RX4446IT,Ghost,Ford,Темно-карміновий,107,34,1937
5,OV0963BL,iQ,Toyota,Золотаво-березовий,284,19,1938
6,OO5063OT,Ram 2500 Mega Cab,Lincoln,Бургундський,118,34,1987
7,MH5785XX,Villager,Jeep,Темно-персиковий,253,5,1914
8,RX1784CM,Countryman,BMW,Зелено-сірий чай,196,28,1965
9,NO4935TM,S5,BMW,Малахітовий,257,1,1916
10,KH3959IX,Element,Toyota,Темно-каштановий,195,2,1969
11,SV6216ME,Nitro,Ram,Зелений армійський,205,4,1962
12,MR1011AX,Ram 3500 Quad Cab,Audi,Темно-зелений,108,26,1936
13,NV8092KI,Durango,MINI,Мисливський,129,40,1991
14,TT6104KX,Express 3500 Passenger,Chevrolet,Зелена сосна,179,41,1907
15,NA4238AP,3 Series,Chevrolet,Білий навахо,243,8,1902
16,NI7435AN,200,Dodge,Помаранчево-рожевий,280,25,1891
17,EO2787PX,XV Crosstrek,Dodge,Індиго,109,7,1953
18,EX6089OE,CLS,Nissan,Мисливський,150,34,1917
19,MT8799BI,Ranger Super Cab,MAZDA,Міжнародний помаранчевий,192,24,1911
20,TM6748TP,Cruze,Ford,Червоний,271,2,1959
21,EV3945PK,G-Class,GMC,Хакі,279,31,2016
22,RV4800KB,Journey,BMW,Блідо-рожевий,181,40,1944
23,KI3582CP,Sprinter 2500 Passenger,Dodge,Темно-лазурний,247,32,1912
24,KI0886CB,Breeze,Chrysler,Бурий,170,39,1966
25,SS9009HC,Sierra 2500 HD Regular Cab,Cadillac,Пастельно-зелений,166,21,1924
26,BA9037HE,VUE,Jaguar,Темний пастельно-зелений,148,40,1981
27,NT6225IK,Rogue,Mercedes-Benz,Бургундський,207,39,2010
28,OO8455XT,Sierra 2500 Extended Cab,Saturn,Персиковий,186,15,1923
29,AM2412OC,Tacoma Access Cab,Mercury,Оливковий,288,37,1990
30,KC2190HE,Hardtop,Mercury,Кобальтовий,216,15,1990
31,TI8226OM,Silhouette,Chrysler,Бежевий,214,32,1888
32,TK2095XP,Ridgeline,Audi,Малиновий,200,13,1978
33,MT2316IX,Explorer,Pontiac,Кіновар,283,38,2014
34,RX4816IN,JUKE,GMC,Темно-зелений,195,6,1919
35,MH5237AZ,Mercedes-AMG GLE,Cadillac,Темно-брунатний,244,16,1893
36,OO8152AC,Sprinter 2500 Cargo,Nissan,Синій ВПС,293,18,1898
37,EI1170EB,Aztek,MAZDA,Фіолетово-баклажановий,195,41,1996
38,OV7904KK,LX,Mercury,Діамантово-рожевий,251,42,1917
39,BS2834HI,Sportage,Kia,Іржавий,187,12,1963
40,BM2468BE,CX-9,Ford,Будяковий,227,36,1960
41,MO0278PA,Express 2500 Cargo,Volkswagen,Яскраво-рожевий,236,42,1897
42,TI5908XE,Sierra 2500 HD Crew Cab,Jeep,Салатовий,300,26,1991
43,NI5356CK,Frontier King Cab,Chrysler,Каштановий,167,23,1986
44,SA9881OB,Santa Fe,Acura,Блідо-волошковий,280,45,1979
45,OA7775CP,Focus ST,Subaru,Міжнародний помаранчевий,120,8,1974
46,BM3911OX,4Runner,Saab,Нефритовий,111,38,1943
47,EV2987KP,Sierra 1500 Regular Cab,BMW,Пшеничний,265,34,1959
48,AK7160TA,62,Dodge,Фуксія,207,32,1906
49,KB0526EI,Journey,Suzuki,Ясно-брунатний,248,4,2013
50,NI2329ON,Eclipse,Ford,Спаржевий,162,47,2006
51,NX7764XN,RAV4,Eagle,Бургундський,222,18,1893
52,XK4743IT,Express 1500 Passenger,Honda,Панг,146,41,1987
53,EM9369XC,Rapide,Mitsubishi,Алізариновий червоний,190,31,1970
54,BK5205AX,Mustang,Ford,Бургундський,255,23,1898
